Date,Open,High,Low,Close,Change(Pips),Change(%)
2024-03-27 20:00:00,2192.43,2195.21,2189.06,2194.49,20299.999999997453,0.09259005865556169
2024-03-28 00:00:00,2194.23,2194.34,2187.36,2189.01,-54799.999999995634,-0.24971633500264767
2024-03-28 04:00:00,2189.07,2196.85,2187.55,2195.56,65499.99999999727,0.29922202274086374
2024-03-28 08:00:00,2195.57,2200.65,2190.84,2194.78,-7799.999999997453,-0.03552624387398451
2024-03-28 12:00:00,2194.81,2216.95,2192.43,2215.67,208899.99999999872,0.951803825440356
2024-03-28 16:00:00,2215.68,2225.56,2202.24,2220.31,46399.99999999873,0.20941746740263945
2024-03-28 20:00:00,2220.36,2236.15,2216.75,2231.73,114200.00000000073,0.5143425918002542
2024-04-01 00:00:00,2237.21,2256.37,2234.57,2250.04,183099.99999999945,0.820439748535895
2024-04-01 04:00:00,2250.04,2265.63,2250.04,2260.31,102699.99999999983,0.456436330020793
2024-04-01 08:00:00,2260.3,2263.34,2255.75,2257.23,-30799.999999999272,-0.13626449469320567
2024-04-01 12:00:00,2257.23,2258.34,2243.54,2252.59,-46399.99999999873,-0.20556168401092423
2024-04-01 16:00:00,2252.53,2257.89,2228.5,2238.04,-145500.0000000018,-0.6459231373663332
2024-04-01 20:00:00,2238.06,2252.26,2234.69,2251.43,133899.99999999872,0.5982913620846686
2024-04-02 00:00:00,2250.78,2255.84,2247.84,2250.36,-10699.99999999709,-0.04752535055496665
2024-04-02 04:00:00,2250.25,2259.84,2246.68,2256.63,62699.99999999982,0.2786220871327183
2024-04-02 08:00:00,2256.64,2262.81,2252.21,2261.06,44299.99999999836,0.19631042749586047
2024-04-02 12:00:00,2261.06,2265.24,2253.33,2257.6,-34600.000000000364,-0.15302557207681478
2024-04-02 16:00:00,2257.59,2276.97,2250.76,2260.3,27000.00000000273,0.11959603118356643
2024-04-02 20:00:00,2260.33,2280.98,2259.51,2280.97,206699.9999999962,0.9144803787107803
2024-04-03 00:00:00,2279.57,2288.26,2277.79,2283.13,21600.000000003092,0.09469655453602233
2024-04-03 04:00:00,2283.2,2287.92,2276.7,2283.67,5399.999999999636,0.023651741249941516
2024-04-03 08:00:00,2283.7,2285.98,2267.68,2273.21,-104600.00000000036,-0.4580346547443437
2024-04-03 12:00:00,2273.2,2275.15,2265.4,2274.91,16999.99999999818,0.07478411585377653
2024-04-03 16:00:00,2274.85,2295.18,2271.67,2293.99,190799.99999999927,0.8387144985955386
2024-04-03 20:00:00,2293.82,2301.08,2288.92,2300.35,63600.00000000127,0.2772461954934524
2024-04-04 00:00:00,2300.08,2302.57,2296.26,2302.18,18299.999999999272,0.07955311148302169
2024-04-04 04:00:00,2302.28,2304.87,2297.49,2298.87,-33099.999999999454,-0.14377676810675144
2024-04-04 08:00:00,2298.82,2300.69,2291.03,2291.61,-72599.99999999764,-0.31580733142804185
2024-04-04 12:00:00,2291.58,2295.17,2282.78,2288.17,-34400.000000000546,-0.15011280278930395
2024-04-04 16:00:00,2288.24,2299.38,2284.72,2286.83,-13400.000000001455,-0.0585620823627675
2024-04-04 20:00:00,2286.82,2305.62,2279.9,2290.9,40700.00000000164,0.1779756256477416
2024-04-05 00:00:00,2289.72,2293.33,2282.82,2283.08,-78200.00000000163,-0.34135056091493254
2024-04-05 04:00:00,2283.08,2284.13,2267.72,2278.02,-50599.999999999454,-0.22163042906949704
2024-04-05 08:00:00,2278.02,2291.78,2276.6,2288.03,100100.00000000218,0.43941668642066833
2024-04-05 12:00:00,2288.04,2296.13,2280.35,2290.87,28399.999999996908,0.12412424662262556
2024-04-05 16:00:00,2290.85,2329.47,2287.0,2327.16,362899.99999999965,1.5841143321096318
2024-04-05 20:00:00,2327.27,2330.47,2320.68,2329.08,19200.000000000728,0.08250399628733085
2024-04-08 00:00:00,2323.04,2328.23,2303.85,2306.19,-228899.99999999872,-0.9827914884847133
2024-04-08 04:00:00,2306.12,2353.84,2302.89,2342.13,359400.0000000005,1.5584145278576322
2024-04-08 08:00:00,2342.15,2343.72,2331.74,2336.28,-58499.99999999909,-0.24977264285073186
2024-04-08 12:00:00,2336.29,2343.57,2322.72,2329.01,-72699.99999999983,-0.3111784546372842
2024-04-08 16:00:00,2329.1,2335.69,2318.72,2328.55,-4600.000000000364,-0.01975088127573743
2024-04-08 20:00:00,2328.56,2342.02,2327.6,2339.12,105699.99999999709,0.45393055764315626
2024-04-09 00:00:00,2338.59,2341.68,2336.96,2340.8,16800.00000000291,0.07182188173331383
2024-04-09 04:00:00,2340.77,2348.42,2337.79,2344.2,33999.99999999636,0.1452494873547261
2024-04-09 08:00:00,2344.25,2359.28,2343.07,2357.56,133600.00000000128,0.5699172425561061
2024-04-09 12:00:00,2357.69,2365.32,2345.74,2349.37,-81900.00000000055,-0.3473930674086745
2024-04-09 16:00:00,2349.36,2364.21,2338.26,2345.0,-43699.99999999891,-0.18600731259869052
2024-04-09 20:00:00,2345.01,2354.56,2341.95,2352.46,74600.00000000036,0.3181236673774013
2024-04-10 00:00:00,2353.06,2355.55,2350.49,2351.57,-8899.999999998727,-0.03783273679467403
2024-04-10 04:00:00,2351.57,2356.76,2344.7,2356.21,46399.99999999873,0.19731498530768388
2024-04-10 08:00:00,2356.15,2360.12,2352.37,2354.5,-17100.000000000364,-0.07257417632554608
2024-04-10 12:00:00,2354.51,2354.8,2327.81,2338.41,-160900.00000000146,-0.6833722658738606
2024-04-10 16:00:00,2338.44,2352.32,2319.39,2337.24,-11700.000000000728,-0.050033997459819624
2024-04-10 20:00:00,2337.24,2345.22,2325.81,2334.02,-32199.999999998,-0.1377693347709208
2024-04-11 00:00:00,2331.92,2337.17,2331.92,2335.21,11900.000000000546,0.050984995844083336
2024-04-11 04:00:00,2335.12,2346.8,2334.03,2342.89,76799.99999999837,0.3288783449882482
2024-04-11 08:00:00,2342.96,2344.56,2325.72,2327.98,-149099.99999999854,-0.636393513993394
2024-04-11 12:00:00,2327.97,2344.32,2327.96,2341.42,134400.00000000055,0.577324547461755
2024-04-11 16:00:00,2341.4,2350.77,2332.36,2349.8,83800.00000000109,0.35790246944162885
2024-04-11 20:00:00,2349.79,2377.67,2348.15,2372.13,223299.99999999927,0.95029364201209
2024-04-12 00:00:00,2371.34,2379.59,2370.44,2378.72,65899.99999999691,0.27780939493196044
2024-04-12 04:00:00,2378.72,2395.44,2378.71,2384.22,55000.0,0.23121678886124375
2024-04-12 08:00:00,2384.22,2400.62,2383.4,2396.73,125100.00000000218,0.5246999018547083
2024-04-12 12:00:00,2396.74,2400.42,2390.4,2395.88,-8499.99999999909,-0.03546498771241913
2024-04-12 16:00:00,2395.96,2431.46,2360.78,2369.22,-266600.0000000031,-1.1127435430823063
2024-04-12 20:00:00,2369.27,2372.99,2333.8,2343.39,-258299.99999999927,-1.0902322283283028
2024-04-15 00:00:00,2351.67,2372.53,2346.9,2353.23,98400.00000000146,0.41990449733080304
2024-04-15 04:00:00,2353.28,2364.67,2348.31,2356.62,33899.99999999873,0.1440573169643411
2024-04-15 08:00:00,2356.53,2362.45,2344.84,2351.67,-49499.99999999818,-0.2100465921531569
2024-04-15 12:00:00,2351.68,2361.28,2346.39,2357.36,56900.000000000546,0.24195571657588122
2024-04-15 16:00:00,2357.43,2361.11,2324.24,2357.2,-1600.0000000030923,-0.0067872535378654675
2024-04-15 20:00:00,2357.19,2387.61,2354.08,2382.81,256100.00000000128,1.0864585100967217
2024-04-16 00:00:00,2381.22,2392.19,2380.16,2383.6,7899.999999999636,0.033154133145307796
2024-04-16 04:00:00,2383.49,2389.3,2379.34,2386.11,25100.000000002183,0.1053029031716779
2024-04-16 08:00:00,2386.14,2389.06,2363.0,2369.44,-166700.00000000073,-0.6986266349833015
2024-04-16 12:00:00,2369.61,2378.21,2367.54,2376.23,67899.99999999964,0.28656560199877834
2024-04-16 16:00:00,2376.38,2398.29,2363.55,2397.5,212699.99999999983,0.8951153718284921
2024-04-16 20:00:00,2397.5,2397.67,2378.37,2382.83,-146700.00000000073,-0.6118873826903015
2024-04-17 00:00:00,2380.57,2387.01,2380.39,2384.44,16100.000000001273,0.06756671688705751
2024-04-17 04:00:00,2384.5,2386.24,2380.27,2381.99,-24500.00000000273,-0.10274949254333032
2024-04-17 08:00:00,2381.95,2393.63,2372.71,2392.96,109700.00000000255,0.4605392969743827
2024-04-17 12:00:00,2392.98,2394.31,2378.35,2383.36,-95999.9999999991,-0.40117678523668987
2024-04-17 16:00:00,2383.3,2395.59,2361.07,2372.4,-109600.00000000036,-0.45985499462942725
2024-04-17 20:00:00,2372.38,2379.12,2354.68,2359.91,-124900.00000000236,-0.5264710841342168
2024-04-18 00:00:00,2361.24,2370.09,2360.57,2369.77,98600.00000000128,0.41781254369870346
2024-04-18 04:00:00,2369.77,2376.52,2364.03,2375.11,53400.000000001455,0.2253383239723794
2024-04-18 08:00:00,2375.24,2381.01,2373.79,2380.01,49000.00000000091,0.20630623423758543
2024-04-18 12:00:00,2380.03,2387.46,2377.24,2385.49,54799.999999995634,0.2302511333985846
2024-04-18 16:00:00,2385.48,2392.84,2369.52,2387.97,24800.000000000182,0.1039618694691713
2024-04-18 20:00:00,2387.98,2389.29,2376.91,2379.21,-87599.99999999764,-0.36683877938163967
2024-04-19 00:00:00,2378.32,2381.47,2373.77,2379.44,2300.000000000182,0.00966707436502734
2024-04-19 04:00:00,2379.43,2417.88,2378.8,2383.59,41500.00000000091,0.17441078573110502
2024-04-19 08:00:00,2383.67,2393.86,2378.01,2384.23,6399.999999998727,0.02685025528719187
2024-04-19 12:00:00,2384.23,2386.13,2372.83,2381.5,-27300.000000000182,-0.11450237602915747
2024-04-19 16:00:00,2381.44,2399.65,2373.07,2399.65,181500.0000000009,0.7621247113164031
2024-04-19 20:00:00,2399.66,2401.93,2386.65,2391.86,-77899.99999999964,-0.324630675306814
2024-04-22 00:00:00,2386.9,2388.84,2381.11,2382.21,-96500.0000000009,-0.4034517070397148
2024-04-22 04:00:00,2382.2,2384.25,2362.04,2369.69,-125199.99999999983,-0.5255623979414037
2024-04-22 08:00:00,2369.99,2370.48,2351.51,2359.58,-101100.00000000128,-0.42663808346239396
2024-04-22 12:00:00,2359.57,2363.66,2333.14,2336.85,-227300.00000000017,-0.9633070292170642
2024-04-22 16:00:00,2336.85,2343.82,2328.99,2329.86,-69899.99999999782,-0.2991206110790068
2024-04-22 20:00:00,2329.83,2334.83,2324.58,2326.78,-30799.999999999272,-0.13219678435614224
2024-04-23 00:00:00,2327.1,2333.96,2326.93,2332.66,58799.999999996544,0.25270975339308777
2024-04-23 04:00:00,2332.62,2334.43,2295.57,2305.59,-270699.9999999971,-1.1604777378614872
2024-04-23 08:00:00,2305.58,2314.78,2298.85,2303.23,-23600.000000001273,-0.1023599165506539
2024-04-23 12:00:00,2303.25,2313.62,2291.39,2311.91,86799.99999999837,0.3768620589346128
2024-04-23 16:00:00,2311.89,2332.16,2309.53,2330.33,184200.00000000073,0.7967438178821951
2024-04-23 20:00:00,2330.32,2331.32,2321.26,2321.79,-85399.99999999964,-0.3664717014328467
2024-04-24 00:00:00,2320.95,2324.31,2320.76,2320.9,-8899.999999998727,-0.03833249346408829
2024-04-24 04:00:00,2320.92,2330.12,2315.78,2326.65,57500.0,0.24774871816968247
2024-04-24 08:00:00,2326.63,2331.31,2316.2,2319.2,-74500.00000000274,-0.32020286678272614
2024-04-24 12:00:00,2319.21,2323.53,2311.8,2323.3,41000.00000000364,0.17678509830978406
2024-04-24 16:00:00,2323.29,2337.3,2316.14,2325.06,17599.999999997635,0.07575431498298979
2024-04-24 20:00:00,2325.13,2330.52,2313.66,2315.75,-93099.99999999945,-0.4004197741133586
2024-04-25 00:00:00,2314.06,2319.42,2314.06,2319.22,34699.999999998,0.14984346324085074
2024-04-25 04:00:00,2319.21,2322.09,2305.01,2315.34,-38799.999999996544,-0.167297625925944
2024-04-25 08:00:00,2315.46,2328.88,2314.5,2326.91,115699.99999999709,0.499710625653238
2024-04-25 12:00:00,2326.89,2334.74,2323.3,2330.72,38099.999999999454,0.16373645736189602
2024-04-25 16:00:00,2330.88,2344.83,2312.83,2328.71,-20099.999999997635,-0.08623944532161198
2024-04-25 20:00:00,2328.72,2336.45,2326.31,2331.75,30399.999999999636,0.13054437864741253
2024-04-26 00:00:00,2330.71,2333.45,2328.76,2329.9,-18499.99999999909,-0.07933955183874186
2024-04-26 04:00:00,2329.85,2338.18,2326.33,2335.98,60799.99999999927,0.26095540581141385
2024-04-26 08:00:00,2335.95,2350.2,2333.97,2347.07,110900.00000000146,0.47474721530149644
2024-04-26 12:00:00,2347.07,2352.53,2340.64,2344.81,-22600.000000002183,-0.0962902682919653
2024-04-26 16:00:00,2344.8,2350.37,2328.7,2333.64,-111700.00000000073,-0.4763712198429748
2024-04-26 20:00:00,2333.61,2341.4,2332.71,2337.72,40799.99999999927,0.17483416465264856
2024-04-29 00:00:00,2333.49,2337.12,2330.67,2332.12,-55999.99999999909,-0.23954964666427214
2024-04-29 04:00:00,2332.1,2333.28,2319.85,2332.67,5500.000000001819,0.023583692091322384
2024-04-29 08:00:00,2332.64,2341.25,2327.49,2338.08,54099.999999998545,0.23192307527424294
2024-04-29 12:00:00,2338.13,2344.35,2328.31,2331.98,-60999.99999999909,-0.260897830698692
2024-04-29 16:00:00,2331.87,2346.74,2325.61,2342.78,108000.00000000182,0.4631257557955015
2024-04-29 20:00:00,2342.9,2346.66,2332.99,2335.5,-72800.00000000201,-0.31074193906385217
2024-04-30 00:00:00,2334.71,2336.34,2331.76,2334.03,-14699.999999998,-0.06294155427102321
2024-04-30 04:00:00,2334.01,2336.18,2324.98,2326.47,-75600.000000004,-0.3239032917314866
2024-04-30 08:00:00,2326.5,2327.01,2310.67,2312.89,-135799.99999999927,-0.5837169617489146
2024-04-30 12:00:00,2312.95,2318.04,2304.64,2306.08,-68099.99999999945,-0.2944368301129763
2024-04-30 16:00:00,2306.06,2313.3,2293.19,2294.68,-114000.0000000009,-0.49434538264067074
2024-04-30 20:00:00,2294.72,2297.5,2285.14,2285.43,-92500.0,-0.4031063154775416
2024-05-01 00:00:00,2285.61,2293.25,2284.85,2286.93,15000.0,0.0656331631246676
2024-05-01 04:00:00,2286.86,2289.52,2281.62,2283.27,-36599.999999998545,-0.16003987878946413
2024-05-01 08:00:00,2283.23,2289.79,2282.55,2286.31,30399.999999999636,0.13314237913168991
2024-05-01 12:00:00,2286.3,2300.02,2285.79,2298.29,119800.00000000017,0.5239884355140001
2024-05-01 16:00:00,2298.26,2310.48,2295.23,2303.76,54700.00000000255,0.23800303704060166
2024-05-01 20:00:00,2303.76,2328.39,2295.48,2319.19,154299.99999999837,0.6697746293016671
2024-05-02 00:00:00,2318.96,2326.01,2317.85,2324.42,52300.00000000018,0.22550976849675664
2024-05-02 04:00:00,2324.4,2326.41,2317.41,2318.19,-62300.00000000018,-0.26802385111124316
2024-05-02 08:00:00,2318.1,2319.09,2303.03,2304.04,-141500.0000000009,-0.6103900025450915
2024-05-02 12:00:00,2304.06,2305.43,2293.53,2294.52,-95199.99999999983,-0.4131872710543161
2024-05-02 16:00:00,2294.49,2306.95,2285.49,2299.62,50999.99999999909,0.2222687097955145
